age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,age_numeric,n_listening_contexts,listening_time,skip_rate,diversity_score,usage_months,pod_frequency,streams,bot_like
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied,27,3,193.5,1.0,0.5,30,1,2560,1
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,27,1,145.7,0.6,0.167,30,1,2053,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,3,191.5,0.4,0.5,18,0,1859,0
12-20,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied,16,3,161.3,0.4,0.5,9,3,1704,0
35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,Unknown,Unknown,Unknown,Unknown,Very Dissatisfied,47,1,153.7,1.0,0.167,3,0,506,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,2,176.6,0.4,0.333,3,0,1009,0
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied,27,2,176.8,0.6,0.333,9,4,1703,0
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied,27,1,141.4,0.4,0.167,9,1,1091,0
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied,27,1,145.9,0.2,0.167,18,1,1575,0
12-20,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3,Never,Unknown,Unknown,Unknown,Unknown,Ok,16,1,144.9,0.6,0.167,30,0,2034,0
12-20,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Both,Ok,16,1,141.9,0.6,0.167,30,1,2389,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,27,2,178.7,0.4,0.333,3,1,994,0
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Rap,Night,Uplifting and motivational,Workout session,Others,1,Never,Unknown,Unknown,Unknown,Unknown,Ok,16,1,161.3,1.0,0.167,18,0,1377,1
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3,Several times a week,Business,Story telling,Both,Shorter,Ok,27,3,154.9,0.6,0.5,30,3,2597,0
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,27,3,186.6,0.6,0.5,30,1,2418,0
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,16,2,164.3,0.4,0.333,30,1,2142,0
12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3,Rarely,Unknown,Interview,Both,Shorter,Ok,16,2,179.0,0.6,0.333,30,1,2225,0
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,Unknown,Both,Shorter,Ok,16,2,179.9,0.4,0.333,30,1,2349,0
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Rarely,Unknown,Conversational,Both,Both,Ok,16,2,177.9,0.6,0.333,18,1,1806,0
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied,16,3,188.3,0.4,0.5,30,2,2685,0
12-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied,16,3,119.3,0.2,0.5,18,4,2024,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, ","recommendations, Playlists",5,Once a week,Comedy,Story telling,Unknown,Both,Satisfied,27,3,196.2,0.2,0.5,3,2,1477,0
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,2,174.7,0.2,0.333,18,0,1760,0
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok,16,2,112.2,0.6,0.333,18,2,1700,0
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied,47,3,158.2,0.4,0.5,18,2,1918,0
20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,Unknown,Well known individuals,Shorter,Ok,27,2,144.8,0.6,0.333,3,2,1122,0
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,27,3,195.7,0.4,0.5,18,1,2019,0
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied,27,2,175.4,0.6,0.333,30,4,2434,0
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,Others,4,Once a week,Comedy,Story telling,Both,Shorter,Ok,16,1,156.3,0.4,0.167,18,2,1603,0
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,135.4,0.4,0.167,3,0,660,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied,27,3,191.8,0.4,0.5,18,1,1849,0
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied,27,3,190.3,0.6,0.5,30,1,2609,0
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,16,2,131.6,0.2,0.333,30,0,1945,0
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok,27,2,100.7,0.6,0.333,3,1,1051,0
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Comedy,Story telling,Unknown,Unknown,Satisfied,27,1,164.9,0.4,0.167,9,2,1367,0
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4,Daily,Comedy,Story telling,Both,Shorter,Satisfied,27,2,129.3,0.4,0.333,30,4,2521,0
20-35,Male,More than 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,Unknown,Unknown,Unknown,Unknown,Satisfied,27,3,204.7,0.2,0.5,30,0,2564,0
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied,27,2,155.7,0.4,0.333,30,1,1950,0
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,146.7,0.6,0.167,3,0,470,0
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,Story telling,Both,Shorter,Ok,27,2,105.1,0.6,0.333,3,1,816,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied,27,1,155.9,0.6,0.167,3,1,601,0
12-20,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,None,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,16,2,110.6,0.6,0.333,3,0,878,0
20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,157.9,0.6,0.167,9,0,1266,0
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied,27,3,191.5,0.2,0.5,30,3,2607,0
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,27,1,145.4,0.4,0.167,30,1,1965,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,Food and cooking,Story telling,Both,Shorter,Ok,27,2,181.1,0.4,0.333,3,0,947,0
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,88.1,0.2,0.167,18,0,1518,0
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied,27,3,182.2,0.2,0.5,18,2,1881,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Afternoon,Uplifting and motivational,While Traveling,Playlists,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,78.7,0.6,0.167,3,0,544,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied,27,1,140.8,0.2,0.167,30,1,2355,1
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2,Rarely,Comedy,Conversational,Both,Both,Ok,27,3,161.0,0.8,0.5,3,1,924,0
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,None,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Daily,Health and Fitness,Interview,Well known individuals,Longer,Ok,16,1,91.4,0.8,0.167,9,4,1041,1
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied,27,3,123.9,0.4,0.5,18,2,1884,0
20-35,Female,More than 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sadness or melancholy,Study Hours,recommendations,2,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied,27,1,145.7,0.8,0.167,30,4,2313,1
35-60,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,Social gatherings or parties,Workout session,Radio,5,Once a week,Comedy,Educational,Unknown,Shorter,Ok,47,1,91.6,0.2,0.167,18,2,1605,0
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied,16,1,96.3,0.6,0.167,18,3,1629,0
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied,16,1,86.9,0.6,0.167,18,1,1108,0
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,94.6,0.4,0.167,9,0,916,0
12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation and stress relief,Study Hours,Radio,3,Once a week,Food and cooking,Story telling,Well known individuals,Shorter,Ok,16,1,113.4,0.6,0.167,3,2,690,0
35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Podcast,Classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Daily,Comedy,Conversational,Well known individuals,Shorter,Satisfied,47,1,146.4,0.4,0.167,3,4,1234,0
12-20,Others,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Uplifting and motivational,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,16,1,116.2,0.6,0.167,9,3,1088,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Several times a week,Comedy,Unknown,Both,Shorter,Ok,27,1,138.0,0.6,0.167,18,3,1581,0
20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Sadness or melancholy,While Traveling,Playlists,3,Several times a week,Sports,Interview,Both,Both,Very Satisfied,27,1,124.9,0.6,0.167,9,3,1281,0
12-20,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,None,Podcast,Rap,Afternoon,Uplifting and motivational,Study Hours,Others,3,Once a week,Sports,Conversational,unknown Podcasters,Both,Ok,16,1,85.3,0.6,0.167,9,2,1135,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,2,172.6,0.4,0.333,18,0,1712,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Office hours,Playlists,5,Several times a week,Comedy,Educational,Well known individuals,Both,Very Satisfied,27,1,154.8,0.2,0.167,3,3,707,0
35-60,Others,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),No,None,Podcast,Classical,Morning,Uplifting and motivational,While Traveling,recommendations,4,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied,47,1,124.5,0.4,0.167,30,2,2230,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,27,5,246.7,0.2,0.833,30,1,2938,0
20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Classical,Night,Relaxation and stress relief,Office hours,Playlists,3,Never,Lifestyle and Health,Unknown,Both,Longer,Satisfied,27,1,149.0,0.6,0.167,3,0,683,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,145.8,0.6,0.167,3,0,428,0
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,Very Satisfied,16,3,155.2,0.4,0.5,30,1,2577,0
